signal,auth_encoded,duplicate_ssid,randomized_mac,network_type,signal_spike
58,2,0,0,0,0
71,2,0,0,0,0
48,2,0,0,0,0
34,2,0,0,0,0
62,2,0,0,0,0
27,2,0,0,0,0
40,2,0,0,0,0
58,2,0,0,0,0
77,2,0,0,0,0
38,2,0,0,0,0
42,2,0,0,0,0
30,2,0,0,0,0
30,2,0,0,0,0
43,2,0,0,0,0
72,2,0,0,0,0
55,2,0,0,0,0
59,2,0,0,0,0
43,2,0,0,0,0
22,2,0,0,0,0
41,2,0,0,0,0
72,2,0,0,0,0
21,2,0,0,0,0
43,2,0,0,0,0
63,2,0,0,0,0
49,2,0,0,0,0
57,2,0,0,0,0
21,2,0,0,0,0
79,2,0,0,0,0
40,2,0,0,0,0
52,2,0,0,0,0
31,2,0,0,0,0
77,2,0,0,0,0
41,2,0,0,0,0
63,2,0,0,0,0
44,2,0,0,0,0
68,2,0,0,0,0
46,2,0,0,0,0
78,2,0,0,0,0
61,2,0,0,0,0
47,2,0,0,0,0
79,2,0,0,0,0
35,2,0,0,0,0
34,2,0,0,0,0
66,2,0,0,0,0
70,2,0,0,0,0
63,2,0,0,0,0
74,2,0,0,0,0
71,2,0,0,0,0
76,2,0,0,0,0
22,2,0,0,0,0
56,2,0,0,0,0
70,2,0,0,0,0
26,2,0,0,0,0
40,2,0,0,0,0
28,2,0,0,0,0
58,2,0,0,0,0
37,2,0,0,0,0
23,2,0,0,0,0
44,2,0,0,0,0
79,2,0,0,0,0
33,2,0,0,0,0
69,2,0,0,0,0
77,2,0,0,0,0
28,2,0,0,0,0
45,2,0,0,0,0
72,2,0,0,0,0
21,2,0,0,0,0
39,2,0,0,0,0
47,2,0,0,0,0
66,2,0,0,0,0
79,2,0,0,0,0
26,2,0,0,0,0
63,2,0,0,0,0
27,2,0,0,0,0
66,2,0,0,0,0
54,2,0,0,0,0
33,2,0,0,0,0
36,2,0,0,0,0
55,2,0,0,0,0
69,2,0,0,0,0
59,2,0,0,0,0
23,2,0,0,0,0
21,2,0,0,0,0
25,2,0,0,0,0
73,2,0,0,0,0
61,2,0,0,0,0
23,2,0,0,0,0
73,2,0,0,0,0
48,2,0,0,0,0
37,2,0,0,0,0
45,2,0,0,0,0
63,2,0,0,0,0
53,2,0,0,0,0
29,2,0,0,0,0
55,2,0,0,0,0
33,2,0,0,0,0
50,2,0,0,0,0
67,2,0,0,0,0
34,2,0,0,0,0
